position	post_id	post_by	post_text	post_published	comment_id	comment_by	is_reply	comment_message	comment_published	comment_like_count
0_0	212370502141521_1512253542153204	eec7e350b592067b59913c61be36f88fc5af5a39	Por si  a alguno le sobran fotos   ya sabéis . Yo me bajo al bar de al lado de mi casa para ver si les sobra cerveza  que yo si se q hacer con ella 😂😂😂	2016-10-14T17:29:56+0000	1512260915485800	2931df981159fb14dde5ca07b99b238ba2f68886	0	Yo voy a ver si en la pizzería le sobra alguna pizza y ya de paso ceno.	2016-10-14T17:41:47+0000	1
0_1	212370502141521_1512253542153204	eec7e350b592067b59913c61be36f88fc5af5a39	Por si  a alguno le sobran fotos   ya sabéis . Yo me bajo al bar de al lado de mi casa para ver si les sobra cerveza  que yo si se q hacer con ella 😂😂😂	2016-10-14T17:29:56+0000	1512261988819026	ff5c47bc4364ba071206995a78c9592f7ea50499	0	encontrarán fijo a alguien que les regale su trabajo. incluso a alguien de este grupo. incluso alguno otro de este grupo defenderá el derecho a reglar trabajo. eso si, que pongan su nombre eh	2016-10-14T17:44:06+0000	5
0_2	212370502141521_1512253542153204	eec7e350b592067b59913c61be36f88fc5af5a39	Por si  a alguno le sobran fotos   ya sabéis . Yo me bajo al bar de al lado de mi casa para ver si les sobra cerveza  que yo si se q hacer con ella 😂😂😂	2016-10-14T17:29:56+0000	1512299285481963	aa4cba2f95c89cf81ee978eb9cef673141bd2c1f	1	Sobretodo ferrari ajajaj	2016-10-14T18:33:23+0000	0
0_3	212370502141521_1512253542153204	eec7e350b592067b59913c61be36f88fc5af5a39	Por si  a alguno le sobran fotos   ya sabéis . Yo me bajo al bar de al lado de mi casa para ver si les sobra cerveza  que yo si se q hacer con ella 😂😂😂	2016-10-14T17:29:56+0000	1512295012149057	31c986980399cfd7e67482ad40d12374242ee87d	0	Voy a un concesionario con un montón de coches seguro que les sobra alguno.	2016-10-14T18:29:59+0000	2
0_4	212370502141521_1512253542153204	eec7e350b592067b59913c61be36f88fc5af5a39	Por si  a alguno le sobran fotos   ya sabéis . Yo me bajo al bar de al lado de mi casa para ver si les sobra cerveza  que yo si se q hacer con ella 😂😂😂	2016-10-14T17:29:56+0000	1512333858811839	6ce393a93e75048a7ec3f16ccdf790e0ed690fc5	1	Grande :)	2016-10-14T19:25:21+0000	0
0_5	212370502141521_1512253542153204	eec7e350b592067b59913c61be36f88fc5af5a39	Por si  a alguno le sobran fotos   ya sabéis . Yo me bajo al bar de al lado de mi casa para ver si les sobra cerveza  que yo si se q hacer con ella 😂😂😂	2016-10-14T17:29:56+0000	1512393898805835	b0a55512bf05e1b28f2bf53886c8a833c87dc05e	1	ATPC .... Diegoarangurenr .. con dos cojones q de las GRACIAS ni los curas cabrones viven ...	2016-10-14T20:36:01+0000	0
0_6	212370502141521_1512253542153204	eec7e350b592067b59913c61be36f88fc5af5a39	Por si  a alguno le sobran fotos   ya sabéis . Yo me bajo al bar de al lado de mi casa para ver si les sobra cerveza  que yo si se q hacer con ella 😂😂😂	2016-10-14T17:29:56+0000	1512403482138210	a08e787be6512055e1acf0778740f6516e0a753a	1	La vergüenza  es que le han borrado el comentario. A ver cuanto dura el mio... Me han mandado un privado excusándose pero les he hecho caso omiso porque no nos chupamos el dedo.	2016-10-14T20:51:28+0000	1
0_7	212370502141521_1512253542153204	eec7e350b592067b59913c61be36f88fc5af5a39	Por si  a alguno le sobran fotos   ya sabéis . Yo me bajo al bar de al lado de mi casa para ver si les sobra cerveza  que yo si se q hacer con ella 😂😂😂	2016-10-14T17:29:56+0000	1512425832135975	d4a9e74cc443bef6fe31f7c43c03c9c5cba95d06	1	Bueno tampoco hagamos mala leche con este tema. En el grupo encontramos casos mucho peores que requieren de intervención judicial. Eso es más grave. Pero viendo la fotografía de Instagram no aparece un aficionado precisamente. Esos objetivos cuestan 15.000 euros, vamos que va claramente enfocado a profesionales de la fotografía. Aún así ya lo he comentado anteriormente, no le demos más importancia de la que tiene.	2016-10-14T21:32:02+0000	0
0_8	212370502141521_1512253542153204	eec7e350b592067b59913c61be36f88fc5af5a39	Por si  a alguno le sobran fotos   ya sabéis . Yo me bajo al bar de al lado de mi casa para ver si les sobra cerveza  que yo si se q hacer con ella 😂😂😂	2016-10-14T17:29:56+0000	1512426208802604	d4a9e74cc443bef6fe31f7c43c03c9c5cba95d06	1	Me pica la curiosidad Apo ¿que les has dicho?	2016-10-14T21:32:44+0000	0
0_9	212370502141521_1512253542153204	eec7e350b592067b59913c61be36f88fc5af5a39	Por si  a alguno le sobran fotos   ya sabéis . Yo me bajo al bar de al lado de mi casa para ver si les sobra cerveza  que yo si se q hacer con ella 😂😂😂	2016-10-14T17:29:56+0000	1512535808791644	a08e787be6512055e1acf0778740f6516e0a753a	1	Solo les he dado las gracias por devaluar nuestro trabajo. Y que es una pena q una federación española como la suya hiciera eso a nuestro gremio	2016-10-15T00:20:47+0000	3
0_10	212370502141521_1512253542153204	eec7e350b592067b59913c61be36f88fc5af5a39	Por si  a alguno le sobran fotos   ya sabéis . Yo me bajo al bar de al lado de mi casa para ver si les sobra cerveza  que yo si se q hacer con ella 😂😂😂	2016-10-14T17:29:56+0000	1512300212148537	d4a9e74cc443bef6fe31f7c43c03c9c5cba95d06	0	Si es que.... un poquito de por favor.....como decía Fernando Tejero	2016-10-14T18:34:31+0000	11
